fiscal_year,location_name,location_type_description,Location_Category_Description,Grades_text,Grades_final_text,primary_address_line_1,X_COORDINATE,Y_COORDINATE,LONGITUDE,LATITUDE,id
"2,020",P.S. 081 Thaddeus Stevens,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",990 DEKALB AVENUE,1002241,191713,-73.935123,40.692866,303
"2,020",P.S. 084 Jose De Diego,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",250 BERRY STREET,994283,199805,-73.963808,40.715089,301
"2,020",P.S. 086 The Irvington,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",220 IRVING AVENUE,1007041,194533,-73.917804,40.700595,304
"2,020",J.H.S. 088 Peter Rouget,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",544 7TH AVENUE,987373,180026,-73.988743,40.660805,307
"2,020",P.S. 089 Cypress Hills,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",265 WARWICK STREET,1015673,186204,-73.886712,40.677707,305
"2,020",P.S. 90 Edna Cohen School,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",2840 WEST  12 STREET,989698,149928,-73.980387,40.578192,313
"2,020",P.S. 091 The Albany Avenue School,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,SE",532 ALBANY AVENUE,1000700,180396,-73.940707,40.661806,309
"2,020",P.S. 092 Adrian Hegeman,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",601 PARKSIDE AVENUE,997066,178379,-73.95381,40.656276,309
"2,020",P.S. 093 William H. Prescott,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",31 NEW YORK AVENUE,999122,186688,-73.946381,40.679079,303
"2,020",P.S. 094 The Henry Longfellow,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",5010 6 AVENUE,981809,173805,-74.008795,40.64373,307
"2,020",P.S. 095 The Gravesend,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",345 VAN SICKLEN STREET,991286,156415,-73.974664,40.595996,315
"2,020",I.S. 096 Seth Low,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",99 AVENUE P,988419,160837,-73.984985,40.608135,311
"2,020",P.S. 97 The Highlawn,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1855 STILLWELL AVENUE,988257,158307,-73.98557,40.601191,311
"2,020",I.S. 98 Bay Academy,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1401 EMMONS AVENUE,997014,152008,-73.954047,40.583893,315
"2,020",P.S. 099 Isaac Asimov,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1120 EAST  10 STREET,993680,165698,-73.966031,40.621474,312
"2,020",P.S. 100 The Coney Island School,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",2951 WEST  3 STREET,992353,149710,-73.97083,40.577591,313
"2,020",P.S. 101 The Verrazano,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",2360 BENSON AVENUE,986482,156918,-73.991962,40.597379,311
"2,020",P.S. 102 The Bayview,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05",211 72 STREET,976268,170377,-74.028758,40.634318,310
"2,020",Satellite Three,General Academic,Junior High-Intermediate-Middle,"08,SE","06,07,08",170 GATES AVENUE,995195,188583,-73.960536,40.684286,302
"2,020",P.S./I.S. 104 The Fort Hamilton School,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",9115 5 AVENUE,976340,164460,-74.028492,40.618077,310
"2,020",P.S. 105 The Blythebourne,General Academic,Elementary,"0K,01,02,03,04,05","PK,0K,01,02,03,04,05",1031 59 STREET,983241,170012,-74.003635,40.63332,312
"2,020",P.S. 106 Edward Everett Hale,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1328 PUTNAM AVENUE,1008271,191883,-73.913378,40.693318,304
"2,020",P.S. 107 John W. Kimball,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1301 8 AVENUE,989471,180806,-73.981181,40.662945,306
"2,020",P.S. 108 Sal Abbracciamento,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",200 LINWOOD STREET,1016327,187512,-73.884348,40.681295,305
"2,020",P.S. 109,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",1001 EAST  45 STREET,1002818,170938,-73.933099,40.635842,317
"2,020",P.S. 109,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",1001 EAST  45 STREET,1002818,170938,-73.933099,40.635842,317
"2,020",P.S. 110 The Monitor,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",124 MONITOR STREET,1000347,202961,-73.941926,40.723743,301
"2,020",P.S. 112 Lefferts Park,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",7115 15 AVENUE,984093,164947,-74.000565,40.619417,311
"2,020",M.S. 113 Ronald Edmonds Learning Center,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",300 ADELPHI STREET,992161,190215,-73.971474,40.688769,302
"2,020",P.S. 114 Ryder Elementary,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1077 REMSEN AVENUE,1009815,173437,-73.90788,40.642684,318
"2,020",P.S. 115 Daniel Mucatel School,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1500 EAST  92 STREET,1012589,170590,-73.897896,40.634861,318
"2,020",P.S. 116 Elizabeth L Farrell,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",515 KNICKERBOCKER AVENUE,1007386,193616,-73.916563,40.698077,304
"2,020",J.H.S. 117 Francis Scott Key,General Academic,Junior High-Intermediate-Middle,"08,SE","06,07,08",300 WILLOUGHBY AVENUE,995677,191627,-73.9588,40.6926,303
"2,020",The Maurice Sendak Community School,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",211 8TH STREET,987689,183793,-73.987602,40.671145,306
"2,020",P.S. 119 Amersfort,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",3829 AVENUE K,1001257,167365,-73.938733,40.626038,318
"2,020",P.S. 120 Carlos Tapia,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",18 BEAVER STREET,1001472,194610,-73.937888,40.700819,304
"2,020",P.S. 121 Nelson A. Rockefeller,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",5301 20 AVENUE,990226,166133,-73.978472,40.622671,312
"2,020",Pathways in Technology Early College High School (,Career Technical,High school,"09,10,11,12,SE","09,10,11,12,13,14",150 ALBANY AVENUE,1001092,185533,-73.939282,40.675905,308
"2,020",P.S. 123 Suydam,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",100 IRVING AVENUE,1005769,195800,-73.922388,40.704076,304
"2,020",P.S. 124 Silas B. Dutcher,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",515 4 AVENUE,986852,182452,-73.99062,40.667464,306
"2,020",Success Academy Charter School - Bed-Stuy 2,General Academic,Elementary,"0K,01,02,03,04,05","0K,01,02,03,04",211 THROOP AVENUE,999978,193443,-73.943279,40.697619,303
"2,020",John Ericsson Middle School 126,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",424 LEONARD STREET,998683,201530,-73.947932,40.719818,301
"2,020",P.S. 127 Mckinley Park,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",7805 7 AVENUE,979134,166503,-74.018429,40.623687,310
"2,020",P.S. 128 Bensonhurst,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",2075 84 STREET,985615,159687,-73.995084,40.60498,311
"2,020",Success Academy Charter School - Cobble Hill,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",284 BALTIC STREET,986110,188843,-73.993293,40.685006,306
